canonicalId,name,description,module,path
bmad-edit-prd,bmad-edit-prd,DEPRECATED â€” consolidated into bmad-prd update intent - this skill will be removed in v7 in favor of `bmad-prd`.,bmm,.claude/skills/bmad-edit-prd/SKILL.md
bmad-editorial-review-prose,bmad-editorial-review-prose,Clinical copy-editor that reviews text for communication issues. Use when user says review for prose or improve the prose,core,.claude/skills/bmad-editorial-review-prose/SKILL.md
bmad-editorial-review-structure,bmad-editorial-review-structure,"Structural editor that proposes cuts, reorganization, and simplification while preserving comprehension. Use when user requests structural review or editorial review of structure",core,.claude/skills/bmad-editorial-review-structure/SKILL.md
bmad-forge-idea,bmad-forge-idea,"Pressure-test an idea through persona-driven interrogation until it hardens, proves out, or dies cheaply. Use when the user says",core,.claude/skills/bmad-forge-idea/SKILL.md
bmad-generate-project-context,bmad-generate-project-context,Create project-context.md with AI rules. Use when the user says "generate project context" or "create project context",bmm,.claude/skills/bmad-generate-project-context/SKILL.md
bmad-help,bmad-help,"Analyzes current state and user query to answer BMad questions or recommend the next skill(s) to use. Use when user asks for help, bmad help, what to do next, or what to start with in BMad.",core,.claude/skills/bmad-help/SKILL.md
bmad-index-docs,bmad-index-docs,Generates or updates an index.md to reference all docs in the folder. Use if user requests to create or update an index of all files in a specific folder,core,.claude/skills/bmad-index-docs/SKILL.md
bmad-market-research,bmad-market-research,Conduct market research on competition and customers. Use when the user says they need market research,bmm,.claude/skills/bmad-market-research/SKILL.md
bmad-party-mode,bmad-party-mode,"Orchestrates lively group discussions between installed BMAD agents or custom personas, and helps author custom parties. Use when the user requests party mode, a roundtable, or multiple agent perspectives â€” or wants to create/configure a party, define personas, or build an AI focus-group panel.",core,.claude/skills/bmad-party-mode/SKILL.md
bmad-prd,bmad-prd,"Create, update, or validate a PRD. Use when the user wants help producing, editing, or validating a PRD.",bmm,.claude/skills/bmad-prd/SKILL.md
bmad-prfaq,bmad-prfaq,Working Backwards PRFAQ challenge that stress-tests a product concept customer-first. Use when the user requests to,bmm,.claude/skills/bmad-prfaq/SKILL.md
bmad-product-brief,bmad-product-brief,"Create, update, or validate a product brief. Use when the user wants help producing, editing, or validating a brief.",bmm,.claude/skills/bmad-product-brief/SKILL.md
bmad-qa-generate-e2e-tests,bmad-qa-generate-e2e-tests,Generate end to end automated tests for existing features. Use when the user says "create qa automated tests for [feature]",bmm,.claude/skills/bmad-qa-generate-e2e-tests/SKILL.md
bmad-quick-dev,bmad-quick-dev,"Implements any user intent, requirement, story, bug fix or change request by producing clean working code artifacts that follow the project",bmm,.claude/skills/bmad-quick-dev/SKILL.md
bmad-retrospective,bmad-retrospective,Post-epic review to extract lessons and assess success. Use when the user says "run a retrospective" or "lets retro the epic [epic]",bmm,.claude/skills/bmad-retrospective/SKILL.md
bmad-review-adversarial-general,bmad-review-adversarial-general,Perform a Cynical Review and produce a findings report. Use when the user requests a critical review of something,core,.claude/skills/bmad-review-adversarial-general/SKILL.md
bmad-review-edge-case-hunter,bmad-review-edge-case-hunter,"Walk every branching path and boundary condition in content, report only unhandled edge cases. Orthogonal to adversarial review - method-driven not attitude-driven. Use when you need exhaustive edge-case analysis of code, specs, or diffs.",core,.claude/skills/bmad-review-edge-case-hunter/SKILL.md
bmad-shard-doc,bmad-shard-doc,"Splits large markdown documents into smaller, organized files based on level 2 (default) sections. Use if the user says perform shard document",core,.claude/skills/bmad-shard-doc/SKILL.md
bmad-spec,bmad-spec,"Distill any intent input into the SPEC kernel + companions â€” the canonical, preservation-validated machine contract for downstream work. Use when the user says "create a spec", "distill this into a spec", "validate this spec", or "update the spec".",core,.claude/skills/bmad-spec/SKILL.md
bmad-sprint-planning,bmad-sprint-planning,Generate sprint status tracking from epics. Use when the user says "run sprint planning" or "generate sprint plan",bmm,.claude/skills/bmad-sprint-planning/SKILL.md
bmad-sprint-status,bmad-sprint-status,Summarize sprint status and surface risks. Use when the user says "check sprint status" or "show sprint status",bmm,.claude/skills/bmad-sprint-status/SKILL.md
bmad-technical-research,bmad-technical-research,Conduct technical research on technologies and architecture. Use when the user says they would like to do or produce a technical research report,bmm,.claude/skills/bmad-technical-research/SKILL.md
bmad-ux,bmad-ux,Plan UX patterns and design specifications. Use when the user says "lets create UX design" or "create UX specifications" or "help me plan the UX",bmm,.claude/skills/bmad-ux/SKILL.md
bmad-validate-prd,bmad-validate-prd,DEPRECATED â€” consolidated into bmad-prd validate intent - this skill will be removed in v7 in favor of `bmad-prd`.,bmm,.claude/skills/bmad-validate-prd/SKILL.md
